",""Dates"",""AAPL"",""MSFT"",""AMZN"",""FB"",""GOOGL"",""TSLA"",""NVDA"",""BAC"",""NFLX"",""KO"""
"75,""2014-06-03"",21.042849,35.970901,327.5,62.880001,570.72998,41.062,4.540997,13.889058,60.441429,32.13007"
"76,""2014-06-10"",20.705982,36.171371,327.619995,64.190002,552.299988,44.922001,4.643497,13.398028,61.465714,31.933723"
"77,""2014-06-17"",20.398317,36.598473,327.23999,65.370003,574.289978,47.444,4.45995,13.713691,62.78857,33.020573"
"78,""2014-06-24"",20.869926,36.345688,324.779999,67.290001,584.669983,48.012001,4.419428,13.485616,62.942856,33.519085"
"79,""2014-07-01"",21.552641,36.598473,333.549988,65.290001,590.76001,44.532001,4.457567,13.985733,65.802856,33.344997"
"80,""2014-07-08"",21.660439,36.729198,355.320007,67.900002,594.26001,45.34,4.598207,13.661097,64.654289,33.534912"
"81,""2014-07-15"",21.096752,39.082516,359.76001,69.400002,598.440002,44.108002,4.421811,13.617229,64.564285,33.550735"
"82,""2014-07-22"",22.237598,38.32423,320.410004,74.919998,599.02002,44.964001,4.223961,13.59968,60.665714,32.18972"
"83,""2014-07-29"",21.4673,37.801266,313.649994,73.510002,582.27002,47.703999,4.207276,13.204851,60.385715,31.176878"
"84,""2014-08-05"",21.557135,37.653095,318.329987,73.440002,577.25,51.863998,4.505242,13.354008,64.505714,31.311384"
"85,""2014-08-12"",22.379808,39.317856,334.529999,74.589996,592.700012,51.987999,4.600589,13.555809,66.571426,32.719883"
"86,""2014-08-19"",22.916962,39.370144,334.019989,75.019997,590.570007,52.509998,4.555301,14.292824,68.704285,32.767357"
"87,""2014-08-26"",23.133625,39.84407,339.040009,74.82,582.359985,53.939999,4.656855,14.117345,68.234283,33.012672"
"88,""2014-09-02"",22.199257,40.756199,342.339996,77.889999,601.630005,56.422001,4.738261,14.345468,68.475716,33.060131"
"89,""2014-09-09"",22.937275,40.554482,323.890015,74.580002,581.640015,50.771999,4.515594,14.732931,65.39286,32.838577"
"90,""2014-09-16"",22.808624,41.273659,324.5,76.800003,597.27002,50.006001,4.522777,14.988158,63.254288,33.651688"
"91,""2014-09-23"",22.594215,40.729897,321.820007,79,587.809998,49.051998,4.434191,14.970558,64.222855,33.675606"
"92,""2014-09-30"",22.483624,40.42292,322.200012,77.559998,587.780029,52.124001,4.338418,15.21699,66.211426,34.751629"
"93,""2014-10-07"",22.52651,38.282948,306.450012,72.989998,544.75,44.917999,4.019981,14.433696,62.654285,35.126255"
"94,""2014-10-14"",22.515226,38.660072,306.209991,76.949997,532.380005,46.094002,4.206732,14.310478,51.317142,34.504547"
"95,""2014-10-21"",23.722687,40.265045,289.970001,80.279999,549.880005,44.334,4.427006,14.600916,54.200001,32.487991"
"96,""2014-10-28"",24.690916,41.606922,305.720001,73.879997,563.77002,48.518002,4.757415,15.199385,55.487144,33.324905"
"97,""2014-11-04"",24.562273,42.878635,305.109985,75,558.22998,48.386002,4.793329,15.287395,55.324287,33.787186"
"98,""2014-11-11"",25.838409,43.378563,323.049988,74.239998,546.640015,50.796001,4.716712,15.040967,54.44857,34.209621"
"99,""2014-11-18"",26.890165,41.738487,335.640015,74.010002,547.47998,49.344002,4.927408,15.120175,50.924286,35.285656"
"100,""2014-11-25"",26.083208,42.910786,326,75.099998,539.650024,46.327999,4.948261,14.776934,48.830002,35.508842"
"101,""2014-12-02"",25.477989,42.098824,306.640015,76.519997,530.72998,42.872002,5.001157,15.542626,48.497143,34.622662"
"102,""2014-12-09"",24.53277,41.18977,306.070007,76.989998,515.840027,40.807999,4.705416,14.873104,46.720001,32.560078"
"103,""2014-12-16"",25.600401,42.345947,306.540009,81.449997,532.299988,44.52,4.99635,15.632204,48.097141,33.988644"
"104,""2014-12-23"",25.820274,41.878185,312.040009,80.019997,537.309998,45.141998,4.943453,15.985279,48.847141,34.397942"
"105,""2014-12-30"",24.083961,40.88969,302.190002,77.190002,519.460022,42.018002,4.758314,15.340919,47.311428,33.820103"
"106,""2015-01-06"",24.763979,41.127995,291.410004,76.720001,497.059998,40.442001,4.734269,14.723052,45.547142,34.221382"
