",""Dates"",""AAPL"",""MSFT"",""AMZN"",""FB"",""GOOGL"",""TSLA"",""NVDA"",""BAC"",""NFLX"",""KO"""
"433,""2021-04-13"",134.409958,257.650665,3372.01001,302.23999,2289.76001,714.630005,153.555222,38.806938,554.440002,53.194683"
"434,""2021-04-20"",134.290359,260.448822,3409,303.040009,2309.929932,738.200012,154.717255,39.044716,510.299988,52.859753"
"435,""2021-04-27"",132.117294,250.799637,3386.48999,322.579987,2343.080078,684.900024,148.307358,40.184059,509.109985,53.667526"
"436,""2021-05-04"",126.445457,246.139328,3190.48999,305.970001,2291.75,629.039978,142.59967,41.660244,486.690002,54.09111"
"437,""2021-05-11"",126.081093,244.147751,3270.389893,315.459991,2288.919922,576.830017,141.597565,42.343853,488.940002,53.825142"
"438,""2021-05-18"",126.909851,249.724182,3244.98999,324.630005,2361.040039,606.440002,156.056702,42.234871,502.899994,53.98275"
"439,""2021-05-25"",124.423584,249.202911,3223.070068,328.730011,2356.850098,625.219971,162.37915,41.997093,502.809998,54.465446"
"440,""2021-06-01"",125.711655,253.325027,3198.01001,336.579987,2402.300049,605.130005,176.118576,42.720325,494.660004,55.204258"
"441,""2021-06-08"",130.28479,259.393433,3383.870117,336.769989,2448.909912,617.690002,180.114456,41.149132,499.890015,54.721569"
"442,""2021-06-15"",132.102081,262.128174,3453.959961,332.290009,2436.25,620.830017,184.240021,39.54734,497,53.952808"
"443,""2021-06-22"",134.578369,268.206543,3443.889893,355.640015,2450.719971,688.719971,199.814774,41.348114,533.030029,53.853558"
"444,""2021-06-29"",139.750626,277.119476,3510.97998,354.700012,2505.149902,678.900024,204.833878,40.940205,533.97998,53.774158"
"445,""2021-07-06"",144.283829,276.790131,3718.550049,353.160004,2539.51001,685.700012,205.088837,40.422855,537.309998,54.071911"
"446,""2021-07-13"",142.236893,276.480713,3549.590088,336.950012,2491.560059,646.219971,187.764389,36.741718,532.280029,55.312546"
"447,""2021-07-20"",148.76712,288.497681,3699.820068,372.459991,2680.699951,657.619995,192.905991,37.9356,516.48999,56.632587"
"448,""2021-07-27"",145.302307,284.275787,3331.47998,351.950012,2697.090088,709.669983,197.465179,37.766464,515.150024,56.453934"
"449,""2021-08-03"",145.871445,287.779053,3341.870117,361.609985,2738.26001,713.76001,202.914215,40.46265,519.969971,56.225658"
"450,""2021-08-10"",151.119995,294.037109,3298.98999,366.559998,2766.189941,686.169983,199.464828,41.079491,517.919983,57.049438"
"451,""2021-08-17"",149.710007,304.067871,3265.870117,363.350006,2800.830078,706.299988,219.54129,40.701427,553.330017,56.017227"
"452,""2021-08-24"",153.119995,303.589996,3421.570068,380.660004,2891.810059,730.909973,226.839996,41.447601,566.179993,55.759178"
"453,""2021-08-31"",154.300003,301.140015,3478.050049,376.26001,2874.790039,733.570007,228.389725,40.840714,590.530029,56.305058"
"454,""2021-09-07"",149.550003,296.98999,3457.169922,376.51001,2846.649902,743,221.520004,40.939999,589.289978,55.650002"
"455,""2021-09-14"",142.940002,294.299988,3355.72998,355.700012,2774.389893,730.169983,211.130005,39.110001,575.429993,53.655056"
"456,""2021-09-21"",145.369995,294.170013,3405.800049,353.579987,2821.439941,791.359985,216.600006,43.259998,592.640015,53.610001"
"457,""2021-09-28"",139.139999,283.109985,3189.780029,326.230011,2673.189941,781.530029,197.320007,43.34,603.349976,52.990002"
"458,""2021-10-05"",142.809998,294.230011,3246.300049,325.450012,2778.280029,791.940002,206.949997,43.779999,627.039978,54.23"
"459,""2021-10-12"",144.839996,304.209991,3409.02002,324.76001,2827.360107,843.030029,218.619995,46.369999,628.289978,54.48"
"460,""2021-10-15"",144.839996,304.209991,3409.02002,324.76001,2827.360107,843.030029,218.619995,46.369999,628.289978,54.48"
